;fiscal_yr;service_id;service_name_en;service_name_fr;service_standard_id;service_standard_en;service_standard_fr;type;gcss_tool_fiscal_yr;channel;channel_comments_en;channel_comments_fr;target_type;target;volume_meeting_target;total_volume;performance;comments_en;comments_fr;target_met;standards_targets_uri_en;standards_targets_uri_fr;performance_results_uri_en;performance_results_uri_fr;org_name_variant;org_id;department_en;department_fr;fy_org_id_service_id
11220;2023-2024;1699;Authentication of documents;Authentification des documents;STAN00005274;Canada now is a party to the Apostille Convention, which simplifies the authentication process by removing the requirement for legalization for documents intended for use in other countries that are party to the convention. Documents authenticated by a Canadian competent authority will be issued an apostille certificate in the form of an “allonge,” which is a separate document that will be securely affixed to the underlying authenticated document.;Le Canada est désormais partie à la Convention Apostille, qui simplifie le processus d’authentification en supprimant l’exigence de légalisation des documents destinés à être utilisés dans d’autres pays parties à la convention. Les documents authentifiés par une autorité compétente canadienne recevront un certificat d’apostille sous forme d’ une « allonge », qui est un document distinct qui sera solidement apposé sur le document authentifié sous-jacent.;ACY;;POST;;;;;;20000.0;;;;;https://www.international.gc.ca/gac-amc/about-a_propos/services/authentication-authentification/step-etape-1.aspx?lang=eng#a6;https://www.international.gc.ca/gac-amc/about-a_propos/services/authentication-authentification/step-etape-1.aspx?lang=fra#a6;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_1699
11236;2023-2024;SRV03151;Advice on Women Peace and Security;Conseils sur les femmes, la paix et la sécurité;8387;Not applicable: The nature of this service is based on engagement with skateholder. We provide recommendations on requests for engagement by stakeholders based on an established set of criteria.;Sans objet : La nature de ce service est basée sur l'engagement avec le détenteur de la patinoire. Nous fournissons des recommandations sur les demandes d'engagement des parties prenantes sur la base d'un ensemble de critères établis.;TML;;PERSON;;;;;;207.0;;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03151
11245;2023-2024;SRV03158;Application to no longer be a designated person;Demande de radiation;8501;Arrive at a decision on a given delisting application within 90 days from the date on which the application was received.;Rende une décision sur une demande de radiation donnée dans les 90 jours suivant la date de réception de la demande.;TML;;EML;;;;;;29.0;;;;;Not published on the web;Non publié sur le web;Not applicable;Non applicable;dfatd-maecd;126.0;Global Affairs Canada;Affaires mondiales Canada;2023-2024_126_SRV03158
12331;2023-2024;8;Email;Courriel (Yes et Legacy);10;Request fulfillment duration: 20 days;Délai de traitement des demandes: 20 jours;TML;;ONL;;;;;;1620.0;;Business Volume That Met Service Standard Target: Data collection and measurement is not possible at this time as the ITSM tool has not been configured to collect this information.;Business Volume That Met Service Standard Target: La collecte et l’analyse des données ne peuvent être effectuées à l’heure actuelle puisque l’outil de TI (GSTI) n’a pas été configuré à des fins de collecte d’information.;;https://service.ssc-spc.gc.ca/en/service/email#servicestandards-01;https://service.ssc-spc.gc.ca/fr/service/courriel#normes-01;;;ssc-spc;305.0;Shared Services Canada;Services partagés Canada;2023-2024_305_8
12690;2023-2024;SRV03544;Declarations of Conformity (DOC);Déclarations de conformité (DOC);8675;Declaration of Conformity: We will process your application within 30 business days if your submission is complete and your declaration has a satisfactory review.;Déclaration de conformité : Nous traiterons votre demande dans les 30 jours ouvrables si votre demande est complète et que votre déclaration a fait l'objet d'un examen satisfaisant.;TML;;OTH;All Channels;All Channels;;;;848.0;;This service standard is difficult to track.;This service standard is difficult to track.;;Yes;Oui;No;Non;tc;138.0;Transport Canada;Transports Canada;2023-2024_138_SRV03544
