14,0
-,1
Challenges accessing portal,8
Challenges using portal,20
Challenges with requesting new Service ID/service standard ID,15
Difficulty understanding data requirements,35
Issues with the service inventory data collection template,29
Not applicable,7
Other,16
Tight timelines,25
Unable to attend drop in sessions,7
Unclear definitions,36
