,Submission ID,Department,13
63,13-02-d6e6,Agence spatiale canadienne,Helpful drop-in sessions
64,14-02-4983,Agriculture and Agri Food Canada,Availability of support from service team
64,14-02-4983,Agriculture and Agri Food Canada,Ease of uploading data
64,14-02-4983,Agriculture and Agri Food Canada,Accurate and helpful data dictionary
64,14-02-4983,Agriculture and Agri Food Canada,Easy to use service inventory data collection template
64,14-02-4983,Agriculture and Agri Food Canada,Helpful drop-in sessions
65,13-02-0e28,Courts Administration Service,Ease of logging in/accessing open portal
65,13-02-0e28,Courts Administration Service,Easy to use open portal
65,13-02-0e28,Courts Administration Service,Ease of uploading data
65,13-02-0e28,Courts Administration Service,Ease in requesting new service ID/service standard ID
65,13-02-0e28,Courts Administration Service,Accurate and helpful data dictionary
65,13-02-0e28,Courts Administration Service,Easy to use service inventory data collection template
65,13-02-0e28,Courts Administration Service,Helpful drop-in sessions
66,28-02-ac30,"Immigration, Refugees and Citizenship Canada",-
67,27-02-ab86,Impact Assessment Agency of Canada,Ease of uploading data
68,25-02-ed55,Infrastructure Canada,Availability of support from service team
68,25-02-ed55,Infrastructure Canada,Ease of logging in/accessing open portal
68,25-02-ed55,Infrastructure Canada,Accurate and helpful data dictionary
68,25-02-ed55,Infrastructure Canada,Helpful drop-in sessions
69,27-02-7b2d,Infrastructure Canada,Availability of support from service team
69,27-02-7b2d,Infrastructure Canada,Easy to use service inventory data collection template
69,27-02-7b2d,Infrastructure Canada,Clear instructions
70,13-02-b85f,Natural Sciences and Engineering Research Council of Canada,Ease of uploading data
70,13-02-b85f,Natural Sciences and Engineering Research Council of Canada,Accurate and helpful data dictionary
70,13-02-b85f,Natural Sciences and Engineering Research Council of Canada,Easy to use service inventory data collection template
70,13-02-b85f,Natural Sciences and Engineering Research Council of Canada,Availability of support from service team
70,13-02-b85f,Natural Sciences and Engineering Research Council of Canada,Easy to use open portal
70,13-02-b85f,Natural Sciences and Engineering Research Council of Canada,Ease of logging in/accessing open portal
70,13-02-b85f,Natural Sciences and Engineering Research Council of Canada,Helpful drop-in sessions
71,13-02-4c98,Public Safety Canada,Not applicable
72,27-02-75bf,Women and Gender Equality Canada,Clear instructions
72,27-02-75bf,Women and Gender Equality Canada,Availability of support from service team
72,27-02-75bf,Women and Gender Equality Canada,Ease of logging in/accessing open portal
72,27-02-75bf,Women and Gender Equality Canada,Easy to use open portal
72,27-02-75bf,Women and Gender Equality Canada,Ease of uploading data
72,27-02-75bf,Women and Gender Equality Canada,Accurate and helpful data dictionary
72,27-02-75bf,Women and Gender Equality Canada,Easy to use service inventory data collection template
72,27-02-75bf,Women and Gender Equality Canada,Helpful drop-in sessions
