,fiscal_yr,service_id,service_name_en,service_name_fr,service_description_en,service_description_fr,service_type,service_recipient_type,service_scope,client_target_groups,program_name_en,program_name_fr,client_feedback_channel,service_fee,os_account_registration,os_authentication,os_application,os_decision,os_issuance,os_issue_resolution_feedback,os_comments_client_interaction_en,os_comments_client_interaction_fr,last_service_review,last_service_improvement,sin_usage,cra_bn_identifier_usage,num_phone_enquiries,num_applications_by_phone,num_website_visits,num_applications_online,num_applications_in_person,num_applications_by_mail,num_applications_by_email,num_applications_by_fax,num_applications_by_other,special_remarks_en,special_remarks_fr,service_uri_en,service_uri_fr,num_applications_total,org_name_variant,org_id,department_en,department_fr,program_id,automated_decision_system_description_fr,automated_decision_system,automated_decision_system_description_en,service_scope_ext_or_ent,fy_org_id_service_id,planned_spending_2024-25,planned_spending_2025-26,planned_spending_2026-27
446,2023-2024,1162,Provide licenses to prospect for minerals,Délivrer des licences de prospection des minéraux,Allows a licensee to prospect for minerals on Crown lands in Nunavut and to acquire a mineral claim or a mineral lease.,Permet à un titulaire de permis de prospecter des minéraux sur les terres de la Couronne au Nunavut et d'acquérir un claim minier ou un bail minier.,RES,CLIENT,EXTERN,ECONOM,"'Energy, Mining and Environment', 'Northern Regulatory and Legislative Frameworks'","'Énergie, mines et environnement', 'Cadres réglementaires et législatifs du Nord'","EML, TEL",Y,Y,N,Y,Y,Y,N,Clients contact the Mining Recorder's Office if they have experienced problems with the online prospectors' licence application process,Les clients peut contacter le bureau des Registraires Miniers en cas des problèmes avec l'application pour un permis de prospection dans le système,,,N,N,0,0,0,15,0,0,0,0,0,We do not measure the number of inquiries received.  Our measurements are transaction based only - once a request has been processed and approved,Nous ne mesurons pas le nombre de demandes de renseignements reçues. Nos mesures sont basées sur les transactions uniquement - une fois qu'une demande a été traitée et approuvée,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2014-69/page-1.html#h-812915,https://laws-lois.justice.gc.ca/fra/reglements/DORS-2014-69/page-1.html#h-801410,15.0,aandc-aadnc,129.0,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,"BNQ05,BWR06",Les licences de prospection sont issués dans le Système de selection au carte de Nunavut.,Y,Prospectors licences are issued through the Nunavut Map Selection system.,True,2023-2024_129_1162,20872440.0,21212357.0,21513060.0
447,2023-2024,1163,"Provide coal exploration licenses, location permits and leases","Délivrer des permis de recherche de gisement de houille, des permis et des concessions d'un emplacement","Lease, permit or license, pursuant to the Territorial Coal Regulations.","Bail, permis ou licence, conformément au règlement territorial sur le charbon.",RES,CLIENT,EXTERN,ECONOM,"'Energy, Mining and Environment', 'Northern Regulatory and Legislative Frameworks'","'Énergie, mines et environnement', 'Cadres réglementaires et législatifs du Nord'",NON,Y,,,,,,,"This service does not involve the following client interaction points, and therefore online service delivery is not applicable: [Account Registration/Enrollment, Authentication, Application, Decision, Issuance, Issue Resolution and Feedback]","Ce service implique aucun points d'interaction avec les client et, par conséquent, les prestation de services en ligne n'est pas applicable : enregistrement/inscription de compte, authentification, demande, décision, émission, résolution de problèmes et commentaires.",,,,,0,0,0,0,0,0,0,0,0,No applications/requests have been received for this type of authorization in the last 10 years.,Aucune demande/demande n'a été reçue pour ce type d'autorisation au cours des 10 dernières années.,"https://laws.justice.gc.ca/eng/regulations/C.R.C.,_c._1522/FullText.html",https://laws.justice.gc.ca/fra/reglements/C.R.C.%2C_ch._1522/TexteComplet.html,0.0,aandc-aadnc,129.0,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,"BNQ05,BWR06",,N,,True,2023-2024_129_1163,20872440.0,21212357.0,21513060.0
448,2023-2024,1164,Provide Crown land use permits,Fournir des permis d'utilisation des terres de la Couronne,Allows the holder of a permit to carry on any work or undertaking on Crown lands.,Permet au titulaire d'un permis d'effectuer tout travail ou entreprise sur les terres de la Couronne.,RES,CLIENT,EXTERN,ECONOM,"'Energy, Mining and Environment'","'Énergie, mines et environnement'",NON,Y,,,,,,,"This service does not involve the following client interaction points, and therefore online service delivery is not applicable: [Account Registration/Enrollment, Authentication, Application, Decision, Issuance, Issue Resolution and Feedback.","Ce service n'implique pas les points d'interaction client suivants et, par conséquent, la prestation de services en ligne n'est pas applicable : [Enregistrement/inscription de compte, authentification, demande, décision, émission, résolution de problème et commentaires]",,,,,0,0,0,0,0,14,0,0,0,We do not measure the number of applications or inquiries received.  Our measurements are transaction based only - once a request has been processed and approved,Nous ne mesurons pas le nombre de candidatures ou de demandes de renseignements reçues. Nos mesures sont basées sur les transactions uniquement - une fois qu'une demande a été traitée et approuvée,https://www.canada.ca/en/crown-indigenous-relations-northern-affairs.html,https://www.canada.ca/fr/relations-couronne-autochtones-affaires-nord.html,14.0,aandc-aadnc,129.0,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,BNQ05,,N,,True,2023-2024_129_1164,0.0,0.0,0.0
449,2023-2024,1165,Provide Crown land surface leases,Fournir des baux de surface pour les terres de la Couronne.,"The sale or lease of Crown lands, with reservations additional to those in the Territorial Lands Act.","La vente ou la location de terres de la Couronne, prévoyant des réserves s’ajoutant à celles prévues par la Loi sur les terres territoriales.",RES,CLIENT,EXTERN,ECONOM,"'Energy, Mining and Environment'","'Énergie, mines et environnement'",NON,Y,,,,,,,"This service does not involve the following client interaction points, and therefore online service delivery is not applicable: [Account Registration/Enrollment, Authentication, Application, Decision, Issuance, Issue Resolution and Feedback].","Ce service n'implique pas les points d'interaction client suivants et, par conséquent, la prestation de service en ligne n'est pas applicable : [Enregistrement/inscription de compte, authentification, demande, décision, émission, résolution de problème et rétroaction].",,,,,0,0,0,0,0,4,0,0,0,We do not measure the number of applications or inquiries received.  Our measurements are transaction based only - once a request has been processed and approved.,Nous ne mesurons pas le nombre de candidatures ou de demandes de renseignements reçues. Nos mesures sont basées sur les transactions uniquement - une fois qu'une demande a été traitée et approuvée.,https://www.canada.ca/en/crown-indigenous-relations-northern-affairs.html,https://www.canada.ca/fr/relations-couronne-autochtones-affaires-nord.html,4.0,aandc-aadnc,129.0,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,BNQ05,,N,,True,2023-2024_129_1165,0.0,0.0,0.0
455,2023-2024,1483,Provide crown land quarry permits/leases,Fournir des permis ou des baux d'exploitation de carrière sur des terres de la Couronne,Lease or permit  issued pursuant to the regulations for acquisition of quarry material.,Bail ou permis émis en vertu de la réglementation pour l'acquisition de matériel de carrière.,RES,CLIENT,EXTERN,ECONOM,"'Energy, Mining and Environment'","'Énergie, mines et environnement'",NON,Y,,,,,,,"This service does not involve the following client interaction points, and therefore online service delivery is not applicable: [Account Registration/Enrollment, Authentication, Application, Decision, Issuance, Issue Resolution and Feedback]","Ce service n'implique pas les points d'interaction client suivants et, par conséquent, la prestation de services en ligne n'est pas applicable : [Enregistrement/inscription de compte, authentification, demande, décision, émission, résolution de problème et commentaires]",,,,,0,0,0,0,0,3,0,0,0,We do not measure the number of applications or inquiries received.  Our measurements are transaction based only - once a request has been processed and approved,Nous ne mesurons pas le nombre de candidatures ou de demandes de renseignements reçues. Nos mesures sont basées sur les transactions uniquement - une fois qu'une demande a été traitée et approuvée,https://www.canada.ca/en/crown-indigenous-relations-northern-affairs.html,https://www.canada.ca/fr/relations-couronne-autochtones-affaires-nord.html,3.0,aandc-aadnc,129.0,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,BNQ05,,N,,True,2023-2024_129_1483,0.0,0.0,0.0
456,2023-2024,2130,Access to Information,Accès à l'information,"The Access to Information Act gives Canadian citizens, along with persons and corporations in Canada, the right to request access to records under the control of a government institution in accordance with the principles that government information should be available to the public.","La Loi sur l'accès à l'information donne aux citoyens canadiens, ainsi qu'aux personnes et sociétés au Canada, le droit de demander l'accès aux documents relevant d'une institution gouvernementale, conformément aux principes selon lesquels les informations gouvernementales doivent être accessibles au public.",INFO,CLIENT,"EXTERN, INTERN",PERSON,'Access to information and privacy',"""Accès à l'information et protection des renseignements personnels""","EML, FAX, ONL, POST, TEL",Y,N,Y,Y,N,N,N,Not Assessed,Non évalué,2022-2023,2022-2023,N,N,ND,0,ND,220,0,4,15,0,0,"We do not formally track or report on internal service requests.  This is being updated for fiscal 2024-2025, with full implementation in 2025-2026","Nous n'assurons pas de suivi formel des demandes de services internes et n'établissons pas de rapport à ce sujet.  Cette mesure est mise à jour pour l'exercice 2024-2025, avec une mise en œuvre complète en 2025-2026.",,,239.0,aandc-aadnc,129.0,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,BSJ03,,N,,True,2023-2024_129_2130,0.0,0.0,0.0
462,2023-2024,2133,Privacy,Protection des renseignements personnels,The Privacy Act protects the privacy of individuals' personal information held by government institutions. It also gives individuals a right of access to their own personal information and with certain rights to correct or annotate it.,"La Loi sur la protection des renseignements personnels protège la confidentialité des renseignements personnels des particuliers qui sont détenus par les institutions gouvernementales. Elle fournit également aux particuliers le droit d’accéder à leurs renseignements personnels, ainsi que certains droits leur permettant de corriger ou d’annoter ces renseignements.",INFO,CLIENT,"EXTERN, INTERN",PERSON,'Access to information and privacy',"""Accès à l'information et protection des renseignements personnels""","EML, FAX, ONL, POST, TEL",N,N,Y,Y,N,N,N,Not assessed,Non évalué,2022-2023,2022-2023,N,N,ND,0,ND,33,0,0,14,0,0,"We do not formally track or report on internal service requests.  This is being updated for fiscal 2024-2025, with full implementation in 2025-2026","Nous n'assurons pas de suivi formel des demandes de services internes et n'établissons pas de rapport à ce sujet.  Cette mesure est mise à jour pour l'exercice 2024-2025, avec une mise en œuvre complète en 2025-2026.",,,47.0,aandc-aadnc,129.0,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,BSJ03,,N,,True,2023-2024_129_2133,0.0,0.0,0.0
468,2023-2024,2563,Claims Assessment,Évaluation des revendications,"Assesses Section 35 determination claims, special claims, Section 35 determination for the purposes of Child and Family Services applications.","Évaluer les demandes de détermination en vertu de l'article 35, les revendications spéciales, la détermination en vertu de l'article 35 aux fins des demandes de services à l'enfance et à la famille.",LRP,CLIENT,EXTERN,PTC,'Indigenous Relations and Engagement','Relations avec les Autochtones et participation des Autochtones',"EML, PERSON, POST, TEL",N,,,,,,,Not relevant for this service,Non pertinent pour ce service.,2022-2023,2022-2023,,,,0,,,0,0,1,0,0,"Applications from Indigenous groups are usually made through letters or e-mail to the Minister or a departmental representative. In some instance, the initial request is made in-person at a meeting, but a formal written request is required to initiate the assessment.","Les demandes émanant de groupes autochtones sont généralement adressées par lettre ou par courriel au ministre ou à un représentant du ministère. Dans certains cas, la demande initiale est faite en personne lors d'une réunion, mais une demande écrite officielle est nécessaire pour lancer l'évaluation.",,,1.0,aandc-aadnc,129.0,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,BGV04,,N,,True,2023-2024_129_2563,0.0,0.0,0.0
469,2023-2024,2564,Contribution and Loan Funding to support Indigenous Communities Programs,"Fonds de contribution et de prêt pour soutenir les programmes de négociations, de reconstruction des Nation et d’Espaces culturels dans les communautés autochtones. s","Provision of financial support to Indigenous groups to support the negotiation of Comprehensive Claims, Treaties (excluding BCTC), Self-Government Agreements, Recognition of Indigenous Rights and Self-Determination; and Specific Claims. Funding for the Nation Rebuilding and Cultural Spaces in Indigenous Communities Programs.","Fournir une aide financière aux groupes autochtones pour soutenir la négociation des revendications globales, des traités (à l'exception de la CTBC), des ententes d'autonomie gouvernementale, de la reconnaissance des droits autochtones et de l'autodétermination, et des revendications particulières. Financement pour les programmes de reconstruction des Nations et d'Espaces culturels dans les communautés autochtones.","GNC, RES",CLIENT,EXTERN,"NGO, PTC",'Indigenous Relations and Engagement','Relations avec les Autochtones et participation des Autochtones',"EML, POST, TEL",N,,,,,,,N/a,N/a,2021-2022,2020-2021,,,,0,,,0,0,440,0,0,All applications are received through email.,Toutes les applications sont reçues par courriel.,https://www.rcaanc-cirnac.gc.ca/eng/1100100028568/1529354090684,https://www.rcaanc-cirnac.gc.ca/fra/1100100028568/1529354090684,440.0,aandc-aadnc,129.0,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,BGV04,,N,,True,2023-2024_129_2564,0.0,0.0,0.0
470,2023-2024,2565,Negotiations,Négociations,Negotiations intended to support Reconciliation by addressing s. 35 rights across the country.,Négociations destinées à soutenir la réconciliation en abordant les droits en vertu de l'article 35 dans tout le pays,"APIR, LRP",CLIENT,EXTERN,PTC,'Indigenous Relations and Engagement','Relations avec les Autochtones et participation des Autochtones',"EML, PERSON, POST, TEL",N,,,,,,,Not relevant for this service,Non pertinent pour ce service.,2022-2023,2020-2021,,,,0,,,0,0,4,0,0,"For British Columbia, First Nations file a statement of intent to begin the negotiation process. The British Columbia Treaty Commission coordinates the table consisting of negotiators represented by the First Nation, the Province and federal government.
For other provinces, applications are usually submitted by letter. Further to analysis of the request and status of the requestor, the applications is either oriented to the Assessment Coordination and Engagement directorate to conduct assessment, or an intake package is prepared to establish a discussion table.","En Colombie-Britannique, les Premières nations soumettent une déclaration d'intention pour entamer le processus de négociation. La Commission des traités de la Colombie-Britannique coordonne la table composée de négociateurs représentés par la Première nation, la province et le gouvernement fédéral. Pour les autres provinces, les demandes sont généralement soumises par lettre. Suite à l'analyse de la demande et du statut du demandeur, les demandes sont soit orientées vers la direction de l'évaluation, de la coordination et de l'engagement pour effectuer une évaluation, soit une trousse d'accueil est préparée pour établir une table de discussion.",https://www.rcaanc-cirnac.gc.ca/eng/1100100028568/1529354090684,https://www.rcaanc-cirnac.gc.ca/fra/1100100028568/1529354090684,4.0,aandc-aadnc,129.0,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,BGV04,,N,,True,2023-2024_129_2565,0.0,0.0,0.0
471,2023-2024,2566,BC Treaty Funding,Financement des traités CB,"TAG administers negotiations support funding to the British Columbia Treaty Commission (BCTC) to allocate to First Nations in the BC treaty process. TAG also administers operational funding to the BCTC to carry out its duties, as laid out in the BCTC Agreement, and to the First Nations Summit to support its role as a Principal to the BC treaty process.","TGA administre le financement de soutien aux négociations que la Commission des traités de la Colombie-Britannique doit allouer aux Premières nations dans le cadre du processus de négociation des traités de la Colombie-Britannique. TGA administre également le financement opérationnel pour la Commission des traités de la Colombie-Britannique afin qu'elle puisse continuer son travail, tel que décrit dans l’Entente de la Commission des traités de la Colombie-Britannique, ainsi qu'au Sommet des Premières nations afin de soutenir son rôle comme « Principal » au processus des traités en Colombie-Britannique.","GNC, LRP, RES",CLIENT,EXTERN,PTC,'Indigenous Relations and Engagement','Relations avec les Autochtones et participation des Autochtones',"EML, PERSON, POST, TEL",N,,,,,,,Not relevant to this service,Non pertinent pour ce service,2022-2023,2021-2022,,,,0,,,0,0,2,0,1,"TAG administers negotiations support funding to the British Columbia Treaty Commission (BCTC) to allocate to the First Nations in the BC treaty process. TAG also administers operational funding for the BCTC to carry out its duties as laid out in the British Columbia Treaty Commission Agreement, and administer funding to the First Nations Summit to support its role as a Principal to the BC treaty process.Contribution / funding agreements are established with the clients on an annual or multi-year basis.","Le TGA administre le financement de soutien aux négociations accordé à la Commission des traités de la Colombie-Britannique (CTCB) pour qu'il soit alloué aux Premières nations dans le cadre du processus des traités de la Colombie-Britannique. Le TGA administre également le financement opérationnel de la CTCB afin qu'elle puisse s'acquitter de ses fonctions, telles qu'elles sont énoncées dans l'Accord de la Commission des traités de la Colombie-Britannique, et administre le financement du Sommet des Premières nations afin de soutenir son rôle de principal dans le processus des traités de la Colombie-Britannique.",,,3.0,aandc-aadnc,129.0,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,BGV04,,N,,True,2023-2024_129_2566,0.0,0.0,0.0
472,2023-2024,2567,Surplus Federal Real Property Initiative,Initiative sur les biens immobiliers excédentaires fédéraux,"TAG manages the Surplus Federal Property Initiative which includes the acquisition and management of real properties held for negotiations of Treaties, Self- Government Agreements, and Other Constructive Agreements.","TGA gère l’Initiative sur les biens immobiliers excédentaires fédéraux incluant l'acquisition et la gestion de biens immobiliers détenus à des fins de négociations de traités, d’ententes sur l’autonomie gouvernementale et d’autres arrangements constructifs.",APIR,CLIENT,EXTERN,"NGO, PTC",'Indigenous Relations and Engagement','Relations avec les Autochtones et participation des Autochtones',"EML, PERSON, POST, TEL",N,,,,,,,Not relevant for this service.,Pas pertinent pour ce service.,2021-2022,2020-2021,,,,0,,,0,0,0,0,0,Through treaty negotiation,À travers les négociations de traité,,,0.0,aandc-aadnc,129.0,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,BGV04,,N,,True,2023-2024_129_2567,0.0,0.0,0.0
533,2023-2024,1266,Management of Grants and Contributions (Gs&Cs) for Employment and Social Development Programs,Administration des subventions et contributions (S et C) pour les programmes d’Emploi et Développement social,"Gs&Cs are transfer payments made to not-for profit, community-based organizations, individuals and to the private and public sectors, which support the activities of those groups, and which also help to fulfill the department’s mandate. 

(Excludes Apprenticeship Grants and other Grants and Contributions that are shown separately in the service inventory.)","Les subventions et les contributions sont des paiements de transfert faits à des organismes communautaires à but non lucratif, à des personnes et aux secteurs public et privé qui appuient les activités de ces groupes et qui aident aussi le Ministère à remplir son mandat. (Cela exclut les subventions  aux apprentis et les autres subventions et contributions qui sont présentées séparément dans le répertoire des services.)","GNC, RES",CLIENT,EXTERN,"ECONOM, INTERN_GOV, NGO, PTC","'Reaching Home', 'Social Development Partnerships Program', 'New Horizons for Seniors Program', 'Enabling Accessibility Fund', 'Early Learning and Child Care', 'Indigenous Early Learning Child Care Transformation Initiative', 'Youth Employment and Skills Strategy', 'Canada Service Corps', 'Skills and Partnership Fund', 'Skills for Success', 'Indigenous Skills and Employment Training (ISET) Program', 'Student Work Placement Program', 'Sectoral Workforce Solutions Program', 'Foreign Credential Recognition Program', 'Enabling Fund for Official Language Minority Communities', 'Canadian Apprenticeship Strategy'","'Vers un chez-soi', 'Programme de partenariats pour le développement social', 'Programme Nouveaux Horizons pour les aînés', ""Fonds pour l'accessibilité"", 'Apprentissage et garde des jeunes enfants', ""Initiative de transformation de l'apprentissage et de la garde des jeunes enfants autochtones"", 'Stratégie emploi et compétences jeunesse', 'Service jeunesse Canada', 'Fonds pour les compétences et les partenariats', 'Compétences pour réussir', ""Programme de formation pour les compétences et l'emploi destiné aux Autochtones"", 'Programme de stages pratiques pour étudiants', ""Programme de solutions pour la main-d'œuvre sectorielle"", 'Programme de reconnaissance des titres de compétences étrangers', ""Fonds d'habilitation pour les communautés de langue officielle en situation minoritaire"", 'Stratégie canadienne de formation en apprentissage'","EML, ONL, PERSON, POST",N,Y,Y,Y,Y,Y,Y,,,2020-2021,2023-2024,Y,Y,ND,ND,ND,52874,ND,ND,ND,ND,4640,Applicants to Grants & Contributions programs are not eligible to apply by phone and therefore there are no volumes to report. Both mail and fax applications are counted together and therefore volumes are not reported separately.,Les candidats aux programmes de subventions et de contributions ne peuvent pas postuler par téléphone et il n'y a donc aucun volume à déclarer. Les demandes par courrier et par télécopie sont comptées ensemble et les volumes ne sont donc pas déclarés séparément.,https://www.canada.ca/en/employment-social-development/services/funding.html,https://www.canada.ca/fr/emploi-developpement-social/services/financement.html,57514.0,esdc-edsc,128.0,Employment and Social Development Canada,Emploi et Développement social Canada,"BGM01,BGM02,BGM03,BGM04,BGM05,BGM07,BGO06,BGO07,BGO08,BGO09,BGO10,BGO11,BGO13,BGO15,BGO16,BGO29","POB utilise des outils d'automatisation des processus robotisés (PRA) depuis avril 2021 dans le cadre du programme Emplois d'été Canada pour saisir les données des formulaires de déclaration des employeurs et des employés (DEE) soumis en ligne via le système interactif de recherche d'informations (SIRF).

Le processus ARP n'utilise actuellement pas la technologie d'IA générative pour effectuer la saisie des données, mais il peut être considéré comme une amélioration future;
L'utilisation de ARP a réduit le temps requis pour saisir et examiner les formulaires DEE pour les agents de Service Canada;
ARP est également utilisé pour automatiser la création de versions PDF des formulaires DEE et des formulaires de demande de paiement et de rapport d'activité (DPRA) qui ont été soumis en ligne via l'SIRF;
Ces automatisations de processus ont permis d'améliorer l'efficacité du programme, permettant aux équipes de se recentrer sur d'autres tâches de plus grande valeur et fondées sur le jugement, notamment le soutien aux députés, qui jouent un rôle unique dans le programme Emplois d'été Canada.",Y,"POB has used Robotic Process Automation (ARP) tools since April 2021 within the Canada Summer Jobs program to enter data from Employer and Employee Declaration (EED) forms submitted online through the Interactive Fact-Finding System (IFFS). 

The RPA process currently does not use generative AI technology to perform data entry, but it may be considered as a future improvement; 
The use of RPA has decreased the amount of time required to enter and review the EED forms for Service Canada agents;
RPA is also used to automate the creation of PDF versions of EED forms and Payment Claim and Activity Report (PCAR) forms that were submitted online through IFFS;
These process automations have enabled program efficiencies, allowing teams to refocus on other higher value, judgment-based tasks, including supporting Members of Parliament, who play a unique role in the Canada Summer Jobs program.",True,2023-2024_128_1266,9290215321.0,10346243922.0,10340035580.0
541,2023-2024,983,Access to Information and Privacy,Accès à l'information et protection des renseignements personnels,"The Access to Information Act gives Canadian citizens, permanent residents, and any person or corporation present in Canada a right to access records of government institutions that are subject to the Act. The Privacy Act gives Canadian citizens, permanent residents, and individuals present in Canada the right to access their personal information held by government institutions that are subject to the Act, and protects that information against unauthorized collection, use, retention and disclosure.","La Loi sur l’accès a l’information accorde aux citoyens canadiens, aux résidents permanents et à toute personne ou société présents au Canada un droit d’accès aux documents des institutions fédérales assujetties à la Loi.  La Loi sur la protection des renseignements personnels donne aux citoyens canadiens, aux résidents permanents et aux personnes présentes au Canada le droit d’accéder a leurs renseignements personnels détenus par les institutions gouvernementales assujetties a la Loi, et protège ces renseignements contre la collecte, l’utilisation, la conservation et la divulgation non autorisées.",INFO,CLIENT,EXTERN,PERSON,'Access to information and privacy',"""Accès à l'information et protection des renseignements personnels""","EML, ONL, POST",N,Y,Y,Y,N,N,N,Access to Information and Privacy requests may be submitted using the Treasury Board Secretariat Online Request portal or sent directly to the Department by mail.  Responses are provided by Environment and Climate Change Canada by mail or e-mail.,Les demandes d'accès à l'information et aux renseignements personnels peuvent être présentées au moyen du portail de demandes en ligne du Secretariat du Conseil du Trésor ou transmises directement au Ministère par la poste. Les réponses sont fournies par Environnement et changements climatiques par la poste ou par courriel.,,,,,,,,2023,,41,,,,Access to information requests: 2023 via TBS Online Portal +41 by mail =  2064 in total.,"Demandes en matière d'accès à l'information: 2 023 par voie du portail en ligne du SCT + 41 par courrier = 2 064 au total

Demandes en matière de protection des renseignements personnels: 35 par voie du portail en ligne du SCT + 10 par courrier = 45 au total",https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/request-information.html,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/presenter-demande.html,2064.0,ec,137.0,Environment and Climate Change Canada,Environnement et Changement climatique Canada,BSJ03,,N,,True,2023-2024_137_983,0.0,0.0,0.0
557,2023-2024,255,Environmental Funding - Atlantic Ecosystems Initiatives,Initiatives des écosystèmes de l'Atlantique,"The program aims to improve the health, productivity and long-term sustainability of ecosystems in Atlantic Canada.  Funding will be provided for projects that enhance integrated ecosystem planning and decision-making, increase ecosystem knowledge and science, and undertake actions that impact priority ecosystems in Atlantic Canada to conserve, restore and enhance the health of ecosystems.","Le programme vise à améliorer la santé, la productivité et la pérennité des écosystèmes du Canada atlantique. Un financement sera offert aux projets qui améliorent la planification intégrée et la prise de décisions concernant les écosystèmes, renforcent les connaissances et les données scientifiques sur les écosystèmes et favorisent la prise de mesures qui ont des effets sur les écosystèmes prioritaires dans le Canada atlantique pour maintenir, rétablir et améliorer la santé des écosystèmes.",GNC,CLIENT,EXTERN,NGO,'Water Quality and Ecosystems Partnerships',"""Qualité de l'eau et partenariat sur les ecosystèmes""","EML, ONL, TEL",N,Y,Y,Y,N,N,N,,,,,N,N,,2,,,10,,,,,,,https://www.canada.ca/en/canada-water-agency/fhttps://www.canada.ca/fr/agence-eau-canada/financement/initiatives-ecosystemes-eau-douce/wolastoq-saint-jean.htmlunding/freshwater-ecosystem-initiatives/wolastoq-saint-john-river.html,https://www.canada.ca/fr/environnement-changement-climatique/services/financement-environnement/programmes/initiatives-ecosystemes-atlantique.html,12.0,ec,137.0,Environment and Climate Change Canada,Environnement et Changement climatique Canada,BGS02,,N,,True,2023-2024_137_255,0.0,0.0,0.0
558,2023-2024,1208,Environmental Funding - Community Interaction Program,Programme Interactions communautaires,This is a funding program that promotes community projects that conserve and improve the St. Lawrence ecosystem. The program is part of the St. Lawrence Action Plan 2011-2026. Only available to applicants in Quebec.,Le Programme Interactions communautaires (PIC) est un programme d’aide financière appuyant la réalisation de projets communautaires visant à conserver et améliorer l’écosystème du Saint-Laurent.,GNC,CLIENT,EXTERN,NGO,'Water Quality and Ecosystems Partnerships',"""Qualité de l'eau et partenariat sur les ecosystèmes""",EML,N,N,N,N,N,N,N,,,2022-2023,2021-2022,N,N,,0,4636,,0,0,21,,,"* Year of last service review: general governmental evaluation of the St. Lawrence Action Plan (SLAP) in which the CIP program was considered 
* Year of last service improvement based on client feedback: we simplified the forms in 2022, following client feedback
* The telephone is not used anymore, we now work with Team meetings. The proponent sends us an email saying they would like to talk with an agent about their ideas. This is encouraged on the website and also in the Application Guide.","* Année de la dernière revue de service : évaluation gouvernementale générale du Plan d’action Saint-Laurent (PALS) dans laquelle le programme CIP a été pris en compte 
* Année de la dernière amélioration du service basée sur les commentaires des clients : nous avons simplifié les formulaires en 2022, suite aux commentaires des clients
* Le téléphone n’est plus utilisé, nous travaillons désormais avec des réunions d’équipe. Le promoteur nous envoie un courriel disant qu’il aimerait parler de ses idées avec un agent. Ceci est encouragé sur le site Web et également dans le Guide de candidature.",https://www.canada.ca/en/environment-climate-change/services/environmental-funding/programs/community-interaction-program.html,https://www.canada.ca/fr/environnement-changement-climatique/services/financement-environnement/programmes/programme-interactions-communautaires.html,21.0,ec,137.0,Environment and Climate Change Canada,Environnement et Changement climatique Canada,BGS02,,N,,True,2023-2024_137_1208,0.0,0.0,0.0
559,2023-2024,263,Environmental Funding - EcoAction Community Funding Program,Appel de propositions pour ÉcoAction,"This program provides financial support to non-profit and non-government organizations for local action-based projects that produce measurable, positive effects on the environment. Projects must address fresh water environmental priorities listed in the Call for Proposals.",Ce programme offre du financement aux organismes sans but lucratif et non-gouvernementaux pour des projets axés sur l’action locale qui ont des effets positifs et mesurables sur l’environnement. Les projets doivent être liés à la priorité environnementale clé : l’eau douce énoncée dans l’appel des propositions.,GNC,CLIENT,EXTERN,NGO,'Water Quality and Ecosystems Partnerships',"""Qualité de l'eau et partenariat sur les ecosystèmes""","EML, ONL, TEL",N,Y,Y,Y,N,N,N,Online services reference the reception of applications during the 2023-2024 Call for Proposals via GNC Enterprise Management System (GCEMS).,Services en ligne fait référence à la réception des demandes de financement pendant le 2023-2024 Appel des Propositions par le Système de gestion d'entreprise des subventions et des contributions (SGESC).,,,N,N,,,,138,,,,,,,,https://www.canada.ca/en/canada-water-agency/funding/ecoaction-community-program.html,https://www.canada.ca/fr/agence-eau-canada/financement/programme-communautaire-ecoaction.html,138.0,ec,137.0,Environment and Climate Change Canada,Environnement et Changement climatique Canada,BGS02,,N,,True,2023-2024_137_263,0.0,0.0,0.0
